 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of PEER Ground Motion Database Search Criteria --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Min:,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnitude Max:,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rrup Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Min (km):,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rjb Max (km):,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Min (m/sec):,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vs30 Max (m/sec):,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Min (sec):,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D9-95 Max (sec):,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Min:,-1.00E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scale Factor Max:,99999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Array:,0.1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weight Array:,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record Sequence Number:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earthquake Name:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Name:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User-Defined Maximum Number of Records:, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulse:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damping Ratio:,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Method:, Minimize MSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suite Average:, Arithmetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single-Period-Scaling Period (sec):, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component:, SRSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fault Type:, Strike Slip (SS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -- Summary of Metadata of Selected Records --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename,,,,,,,,,
